MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.4846,40,6.67,1.773,682,3.772,37.2198,-114.056,3.7487
2.5367,1,3.919,1.286,543,3.806,39.627,-116.2425,2.081
3.7578,4,4.948,1.535,548,3.684,36.5585,-115.521,3.9087
5.8212,30,7.946,2.31,539,3.293,32.5275,-118.2751,5.5
2.418,12,5.491,1.196,272,2.859,38.3146,-120.8437,3.2157
2.418,35,7.254,2.172,249,3.338,41.5503,-114.0917,2.8987
5.9871,13,6.85,2.285,479,2.531,34.9411,-121.9378,5.5
3.9897,31,8.454,2.673,544,3.503,40.2538,-115.3354,4.6846
2.1496,38,4.977,1.135,340,3.404,36.8272,-114.9313,3.545
3.5654,43,7.044,2.553,398,3.152,38.6083,-115.9157,3.9906
2.1561,23,6.395,2.445,586,3.945,40.9633,-123.3021,1.8589
2.1536,4,5.536,1.631,1113,3.538,39.8246,-115.5318,2.6608
3.0679,16,5.529,2.298,1077,3.575,40.9034,-117.5303,3.1012
1.0443,7,6.798,1.757,1095,4.59,32.5904,-117.3513,2.0596
1.1474,22,7.414,1.753,401,3.549,34.2795,-116.2414,2.8267
2.0521,29,6.568,1.637,595,3.977,36.5232,-119.3494,2.731
1.6382,11,6.611,2.064,1233,3.189,40.5545,-121.6948,2.0915
3.1808,33,5.859,1.237,275,3.861,40.4647,-118.4632,3.6632
1.7263,29,5.937,1.689,528,3.663,34.2588,-123.3589,2.8277
1.3416,39,5.533,2.472,743,3.769,33.8513,-117.4145,2.8721
5.6566,12,5.836,1.312,283,3.128,40.4297,-119.4291,5.5
2.4281,7,7.357,2.006,824,3.169,37.6436,-119.2255,2.7762
2.8116,39,7.54,1.871,1441,3.536,38.4543,-122.5489,3.4091
1.3333,42,5.056,1.445,1226,4.547,40.1875,-124.0665,2.0876
2.0705,48,5.425,1.533,608,3.038,34.5116,-118.0817,3.6953
2.8733,26,5.621,1.498,999,4.804,33.7966,-117.5823,3.7717
1.5288,40,6.396,1.869,281,3.36,40.6609,-119.2679,2.2625
3.28,9,4.705,1.56,764,3.764,33.5619,-116.4598,3.9271
2.0131,41,5.443,2.01,571,4.322,33.3377,-118.581,3.9073
2.3494,34,4.957,1.417,617,3.532,35.1322,-115.5939,3.6296
2.012,45,7.054,2.118,700,3.589,35.5101,-121.4748,3.4121
6.863,13,6.442,2.082,807,4.63,34.7908,-121.9474,5.5
2.7,36,5.901,1.406,321,4.385,39.5454,-121.758,2.9597
1.6018,25,5.258,1.537,407,4.127,41.7469,-124.1796,2.0545
4.1012,24,5.919,1.626,585,3.64,34.3961,-115.0434,4.0914
1.4764,44,5.783,2.01,273,3.677,39.9276,-114.0085,2.3643
3.0175,17,9.318,3.612,712,3.194,32.9203,-115.9265,3.6686
1.0204,2,8.044,2.101,1008,3.568,33.6296,-120.1677,2.1823
1.3992,13,5.643,2.054,1334,3.755,37.3936,-120.7837,2.0895
2.9995,31,6.709,1.524,697,3.7,41.9963,-116.3658,3.132
3.9323,29,7.949,2.465,1708,3.884,41.519,-119.1456,4.0019
2.9615,50,5.643,1.766,653,4.395,33.5635,-114.6357,4.4078
2.5656,28,4.93,1.113,354,3.009,34.777,-121.5644,3.5885
2.3384,27,4.614,1.193,646,3.395,41.485,-121.0999,2.8544
1.2979,15,8.565,2.173,600,4.417,33.9319,-114.0123,2.0019
1.8966,31,6.232,1.461,860,5.452,39.5565,-114.2292,2.1226
